"","lhs","op","rhs","block","group","label","exo","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","fmi"
"107","MEM_BL","~","MatINT",1,1,"int5a",0,-0.333354855552027,0.382491005126506,-0.871536457286811,0.383461308685775,-1.0830234500105,0.41631373890645,-0.249829616456074,-0.00861973971978727,-0.249829616456074,0.174249024032184
"108","MEM_BL","~","SocINT",1,1,"int6a",0,0.142772072099217,0.359355778231045,0.397300059573337,0.691146203455827,-0.561552310869994,0.847096455068428,0.106999167461113,0.00391748781408395,0.106999167461113,0.167676929780723
"109","MEM_DELTA","~","Material_deprivation",1,1,"c212a",0,-1.12031822946755,0.369415348009016,-3.03267916589163,0.002423931581645,-1.84435900690155,-0.396277452033547,-0.77579277962721,-0.030463971550018,-0.77579277962721,0.243293803855005
"110","MEM_DELTA","~","Social_deprivation",1,1,"c222a",0,-0.0226255909958738,0.336833803040401,-0.0671713788570086,0.946445270011732,-0.682807713730718,0.63755653173897,-0.0156676644793503,-0.000643056574336881,-0.0156676644793503,0.232132692249481
"111","MEM_DELTA","~","Physical_activity",1,1,"b22a",0,0.0394200299394894,0.0153135686452142,2.57418965185552,0.0100475181379223,0.00940598692008782,0.0694340729588911,0.0272973997881646,0.0241582492287768,0.0272973997881646,0.227112918834842
"112","MEM_DELTA","~","MatINT",1,1,"int7a",0,0.11216137898694,0.392721883388283,0.285600023149325,0.775184485723527,-0.657559368394832,0.881882126368713,0.0776689923294867,0.00267977234915238,0.0776689923294867,0.280918172397334
"113","MEM_DELTA","~","SocINT",1,1,"int8a",0,0.555440761045572,0.367357159818303,1.51199111328141,0.130536123301305,-0.164566041661227,1.27544756375237,0.384629046101119,0.0140821619158064,0.384629046101119,0.268847315098722
"114","EF_DELTA","~~","MEM_DELTA",1,1,"",0,0.335008233538764,0.0471641163890192,7.103032118222,1.2205791932729e-12,0.242568264053631,0.427448203023897,0.280015611206582,0.280015611206582,0.280015611206582,0.237472409181895
"115","Multimorbidity","~~","Multimorbidity",1,1,"",0,2.50136209569425,0.0338539801375595,73.8867951576274,0,2.4350095138913,2.5677146774972,2.50136209569425,1,2.50136209569425,0.05600302634914
"116","Multimorbidity","~~","Education",1,1,"",0,-0.48868138934878,0.0335429867237703,-14.5688096702037,0,-0.554424435261275,-0.422938343436285,-0.48868138934878,-0.140214880980637,-0.48868138934878,0.048211580200197
"117","Multimorbidity","~~","Income",1,1,"",0,-0.317878185660137,0.0175747599561582,-18.0871992819881,0,-0.352324082211144,-0.283432289109131,-0.317878185660137,-0.178146875985115,-0.317878185660137,0.0805017314236887
"118","Multimorbidity","~~","BMI",1,1,"",0,1.93145203501196,0.0765957963048381,25.2161623508046,0,1.78132703288731,2.08157703713661,1.93145203501196,0.248905096560303,1.93145203501196,0.0576614231224787
"119","Multimorbidity","~~","Source.BL",1,1,"",0,0.00413483552938506,0.00719363663505016,0.574790712841757,0.565432848490732,-0.00996443319318115,0.0182341042519513,0.00413483552938506,0.00544297429301928,0.00413483552938506,0.0358317706246242
"120","Multimorbidity","~~","White",1,1,"",0,0.00369859087108968,0.00353671654223339,1.04576966429831,0.29566739019461,-0.0032332461752148,0.0106304279173941,0.00369859087108968,0.00998309069135106,0.00369859087108968,0.0511908048171954
"121","Multimorbidity","~~","Smoking",1,1,"",0,0.311330430609966,0.0220871465869439,14.0955478057994,0,0.2680404187783,0.354620442441633,0.311330430609966,0.135767961516388,0.311330430609966,0.0509556399618508
"122","Multimorbidity","~~","Alcohol",1,1,"",0,-0.439748164020394,0.0340964692349958,-12.8971759799999,0,-0.506576015720964,-0.372920312319824,-0.439748164020394,-0.1252394748087,-0.439748164020394,0.0688108300483126
"123","Multimorbidity","~~","Depression",1,1,"",0,1.58729977857571,0.0711590601392336,22.3063623306704,0,1.44783058352909,1.72676897362232,1.58729977857571,0.21916144452265,1.58729977857571,0.0613701322169773
"124","Multimorbidity","~~","Age_BL",1,1,"",0,0.202745267858933,0.0084100404285108,24.1075259485802,0,0.186261891510526,0.21922864420734,0.202745267858933,0.23518800146852,0.202745267858933,0.0413663624980533
"125","Multimorbidity","~~","Language_BL",1,1,"",0,-0.0126762862949618,0.00570385652789882,-2.22240623216228,0.0262558645480149,-0.0238556396626272,-0.00149693292729648,-0.0126762862949618,-0.0211526925901528,-0.0126762862949618,0.0452154556417164
"126","Multimorbidity","~~","Language_FU1",1,1,"",0,-0.0127108470790521,0.00574244883366052,-2.21348895693156,0.0268639537458955,-0.0239658399760907,-0.00145585418201341,-0.0127108470790521,-0.0211381175381829,-0.0127108470790521,0.0515426867503522
"127","Multimorbidity","~~","Material_deprivation",1,1,"",0,0.00544917494884162,0.000605497873590788,8.99949477365849,0,0.00426242092388809,0.00663592897379515,0.00544917494884162,0.0877408184682112,0.00544917494884162,0.0834485296455241
"128","Multimorbidity","~~","Social_deprivation",1,1,"",0,0.00413518166846281,0.000630391168230457,6.5597074909385,5.39133182542173e-11,0.00289963768255898,0.00537072565436663,0.00413518166846281,0.063703220957399,0.00413518166846281,0.0795200695679142
"129","Multimorbidity","~~","Physical_activity",1,1,"",0,-0.206744590588139,0.0141037871476087,-14.6587996843948,0,-0.234387505443071,-0.179101675733207,-0.206744590588139,-0.147707210323622,-0.206744590588139,0.129990814451383
"130","Multimorbidity","~~","MatINT",1,1,"",0,-0.00347041566220127,0.000562853944910134,-6.16574813694406,7.01506630562676e-10,-0.00457358912278142,-0.00236724220162112,-0.00347041566220127,-0.0635979301693317,-0.00347041566220127,0.184100141612316
"131","Multimorbidity","~~","SocINT",1,1,"",0,-0.00339701528236815,0.000595643665568026,-5.70309982081089,1.17648037978313e-08,-0.0045644554145009,-0.0022295751502354,-0.00339701528236815,-0.0586653900808845,-0.00339701528236815,0.18012991459981
"132","Education","~~","Education",1,1,"",0,4.85609103891193,0.0639038036053799,75.9906416353457,0,4.73084188537026,4.9813401924536,4.85609103891193,1,4.85609103891193,0.00149049770720899
"133","Education","~~","Income",1,1,"",0,0.856252533776459,0.0247561790661956,34.5874269000449,0,0.807731314411892,0.904773753141027,0.856252533776459,0.3444008599729,0.856252533776459,0.0245958367303423
"134","Education","~~","BMI",1,1,"",0,-1.24254211789814,0.101491183212487,-12.2428577396392,0,-1.44146118174297,-1.04362305405331,-1.24254211789814,-0.114922708461846,-1.24254211789814,0.00585974289694646
"135","Education","~~","Source.BL",1,1,"",0,-0.137744578981732,0.00993212534524179,-13.8685904772358,0,-0.157211186948343,-0.118277971015121,-0.137744578981732,-0.13013599350021,-0.137744578981732,0.00148398912644443
"136","Education","~~","White",1,1,"",0,-0.0238241069953082,0.00481519392224243,-4.94769419052043,7.50977694252697e-07,-0.0332617136614795,-0.0143865003291369,-0.0238241069953082,-0.0461519681424064,-0.0238241069953082,0.00427588851514638
"137","Education","~~","Smoking",1,1,"",0,-0.858242715786833,0.0308481178512221,-27.8215585121292,0,-0.918703915766076,-0.797781515807591,-0.858242715786833,-0.268615286039599,-0.858242715786833,0.0056276031395518
"138","Education","~~","Alcohol",1,1,"",0,0.593338293057456,0.046292668657382,12.8171114404492,0,0.502606329740741,0.684070256374171,0.593338293057456,0.121278677622351,0.593338293057456,0.0202028641885393
"139","Education","~~","Depression",1,1,"",0,-1.41054611219765,0.0949911919000138,-14.8492305863723,0,-1.59672542717021,-1.22436679722509,-1.41054611219765,-0.139777529122362,-1.41054611219765,0.00521476642371532
"140","Education","~~","Age_BL",1,1,"",0,-0.0474657622893713,0.011180599640539,-4.24536821059831,2.18234748403656e-05,-0.0693793349103893,-0.0255521896683533,-0.0474657622893713,-0.0395175277937324,-0.0474657622893713,0.000645060662412766
"141","Education","~~","Language_BL",1,1,"",0,-0.0320736897043477,0.00777616187960288,-4.12461702841835,3.71352138497372e-05,-0.0473146869263226,-0.0168326924823727,-0.0320736897043477,-0.0384120436971078,-0.0320736897043477,0.0016938062812889
"142","Education","~~","Language_FU1",1,1,"",0,-0.0306373174177368,0.00782627054189081,-3.91467650571851,9.05254956546919e-05,-0.0459765258131096,-0.0152981090223641,-0.0306373174177368,-0.036566839279084,-0.0306373174177368,0.00781500304082949
"143","Education","~~","Material_deprivation",1,1,"",0,-0.0237281310378674,0.000847559224223133,-27.9958383552682,0,-0.0253893165921094,-0.0220669454836253,-0.0237281310378674,-0.274207503131126,-0.0237281310378674,0.0310031299447108
"144","Education","~~","Social_deprivation",1,1,"",0,-0.00882348422899353,0.000860106018929549,-10.2586007245652,0,-0.0105092610489816,-0.00713770740900549,-0.00882348422899353,-0.0975555055284141,-0.00882348422899353,0.0348284538252481
"145","Education","~~","Physical_activity",1,1,"",0,-0.0514982307457129,0.0191710826295313,-2.68624530710564,0.00722600153423536,-0.0890728622442356,-0.0139235992471901,-0.0514982307457129,-0.0264061278575481,-0.0514982307457129,0.104780239361541
